2024-05-06 10:12:59 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 21.0.1 with PID 89037 (/Users/iremaktas/Documents/Projects/SpringMicroservices/twitter-to-kafka-service/target/classes started by iremaktas in /Users/iremaktas/Documents/Projects/SpringMicroservices)
2024-05-06 10:12:59 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-06 10:12:59 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.442 seconds (process running for 0.761)
2024-05-06 10:12:59 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - App starts...
2024-05-06 10:12:59 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - [Java, Microservices, Spring, Kafka, ElasticSearch]
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 21.0.1 with PID 89425 (/Users/iremaktas/Documents/Projects/SpringMicroservices/twitter-to-kafka-service/target/classes started by iremaktas in /Users/iremaktas/Documents/Projects/SpringMicroservices)
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.426 seconds (process running for 0.728)
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - App starts...
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - [Java, Microservices, Spring, Kafka, ElasticSearch]
2024-05-06 10:15:52 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - WelcomeToTwitterToKafkaService
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 21.0.1 with PID 5890 (/Users/iremaktas/Documents/Projects/SpringMicroservices/twitter-to-kafka-service/target/classes started by iremaktas in /Users/iremaktas/Documents/Projects/SpringMicroservices)
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 0.522 seconds (process running for 0.869)
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - App starts...
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - [Java, Microservices, Spring, Kafka, ElasticSearch]
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.TwitterToKafkaServiceApplication - WelcomeToTwitterToKafkaService
2024-05-06 12:07:46 [Twitter Stream consumer /  [1][initializing]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:46 [main] INFO  o.e.d.t.t.k.s.r.i.TwitterKafkaStreamRunner - Started Filtering twitter stream for keywords Java 
2024-05-06 12:07:46 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:46 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 250 milliseconds
2024-05-06 12:07:47 [Twitter Stream consumer /  [1][Waiting for 250 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:47 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:47 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 500 milliseconds
2024-05-06 12:07:47 [Twitter Stream consumer /  [1][Waiting for 500 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 1000 milliseconds
2024-05-06 12:07:49 [Twitter Stream consumer /  [1][Waiting for 1000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:49 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 2000 milliseconds
2024-05-06 12:07:51 [Twitter Stream consumer /  [1][Waiting for 2000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:51 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:51 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 4000 milliseconds
2024-05-06 12:07:55 [Twitter Stream consumer /  [1][Waiting for 4000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2024-05-06 12:07:55 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2024-05-06 12:07:55 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 8000 milliseconds
